country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,source,reported_date
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-09-17
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-09-27
Italy,IT,ITA,60359546,,10,"Epidemic intelligence, national daily data",2020-07-24
Switzerland,CH,CHE,8544527,,2,"Epidemic intelligence, national daily data",2020-08-26
Belgium,BE,BEL,11455519,,22,"Epidemic intelligence, national daily data",2020-06-01
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-06-30
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-08-19
Kosovo,,,1798506,,7,"Epidemic intelligence, national daily data",2020-07-12
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-05-26
Turkey,TR,TUR,82003882,,79,"Epidemic intelligence, national daily data",2020-04-03
Italy,IT,ITA,60359546,,49,"Epidemic intelligence, national daily data",2020-03-07
Serbia,RS,SRB,6963764,,7,"Epidemic intelligence, national daily data",2020-07-31
France,FR,FRA,67012883,,395,"Epidemic intelligence, national daily data",2020-04-20
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-03-09
Moldova,MD,MDA,4033963,,11,"Epidemic intelligence, national daily data",2020-09-08
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-06-22
France,FR,FRA,67012883,,66,"Epidemic intelligence, national daily data",2020-10-07
Luxembourg,LU,LUX,613894,,0,"Epidemic intelligence, national daily data",2020-06-15
Bulgaria,BG,BGR,7000039,,2,"Epidemic intelligence, national daily data",2020-05-19
Poland,PL,POL,37972812,,10,"Epidemic intelligence, national daily data",2020-06-02
Belgium,BE,BEL,11455519,,3,"Epidemic intelligence, national daily data",2020-08-22
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-06-24
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-08-24
Germany,DE,DEU,83019213,,0,"Epidemic intelligence, national daily data",2020-01-22
Italy,IT,ITA,60359546,,2,"Epidemic intelligence, national daily data",2020-02-23
Poland,PL,POL,37972812,,5,"Epidemic intelligence, national daily data",2020-09-22
Ukraine,UA,UKR,43733759,,21,"Epidemic intelligence, national daily data",2020-05-09
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-02-29
Ukraine,UA,UKR,43733759,,0,"Epidemic intelligence, national daily data",2020-02-14
Ukraine,UA,UKR,43733759,,18,"Epidemic intelligence, national daily data",2020-07-11
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-07-17
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-07-26
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-03-20
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-08-24
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-02-24
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-08-28
Turkey,TR,TUR,82003882,,0,"Epidemic intelligence, national daily data",2020-03-12
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-07-27
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-03-31
North Macedonia,MK,MKD,2077132,,12,"Epidemic intelligence, national daily data",2020-06-30
Bosnia and Herzegovina,BA,BIH,3280815,,6,"Epidemic intelligence, national daily data",2020-07-10
Greece,EL,GRC,10724599,,5,"Epidemic intelligence, national daily data",2020-10-03
Albania,AL,ALB,2862427,,0,"Epidemic intelligence, national daily data",2020-05-13
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-07-03
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-09-15
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-10-08
Kosovo,,,1798506,,9,"Epidemic intelligence, national daily data",2020-08-23
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-09-09
Bulgaria,BG,BGR,7000039,,2,"Epidemic intelligence, national daily data",2020-05-01
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-05-18
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-06-03
Finland,FI,FIN,5517919,,0,"Epidemic intelligence, national daily data",2020-06-14
North Macedonia,MK,MKD,2077132,,2,"Epidemic intelligence, national daily data",2020-05-20
Ireland,IE,IRL,4904240,,0,"Epidemic intelligence, national daily data",2020-01-02
Luxembourg,LU,LUX,613894,,0,"Epidemic intelligence, national daily data",2020-01-20
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-08-03
Kosovo,,,1798506,,8,"Epidemic intelligence, national daily data",2020-08-14
Hungary,HU,HUN,9772756,,0,"Epidemic intelligence, national daily data",2020-02-06
Switzerland,CH,CHE,8544527,,1,"Epidemic intelligence, national daily data",2020-07-02
Malta,MT,MLT,493559,,0,"Epidemic intelligence, national daily data",2020-03-22
Poland,PL,POL,37972812,,22,"Epidemic intelligence, national daily data",2020-04-08
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-10-14
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-09-04
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-06-16
Spain,ES,ESP,46937060,,2,"Epidemic intelligence, national daily data",2020-06-28
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-02-09
Slovenia,SI,SVN,2080908,,0,"Epidemic intelligence, national daily data",2020-09-26
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-06-27
Hungary,HU,HUN,9772756,,25,"Epidemic intelligence, national daily data",2020-04-24
Moldova,MD,MDA,4033963,,7,"Epidemic intelligence, national daily data",2020-05-21
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-03-25
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-08-05
Portugal,PT,PRT,10276617,,0,"Epidemic intelligence, national daily data",2020-01-27
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-06-02
Czechia,CZ,CZE,10649800,,1,"Epidemic intelligence, national daily data",2020-06-19
Luxembourg,LU,LUX,613894,,3,"Epidemic intelligence, national daily data",2020-10-13
Bulgaria,BG,BGR,7000039,,13,"Epidemic intelligence, national daily data",2020-06-06
Russia,RU,RUS,145934460,,0,"Epidemic intelligence, national daily data",2020-03-13
Romania,RO,ROU,19414458,,0,"Epidemic intelligence, national daily data",2020-03-05
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-10-24
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-08-06
Austria,AT,AUT,8858775,,10,"Epidemic intelligence, national daily data",2020-09-08
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-08-12
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-08-26
Liechtenstein,LI,LIE,38378,,1,"Epidemic intelligence, national daily data",2020-04-05
Croatia,HR,HRV,4076246,,3,"Epidemic intelligence, national daily data",2020-08-29
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-04-09
Russia,RU,RUS,145934460,,0,"Epidemic intelligence, national daily data",2020-03-25
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-02-17
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-06-29
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-01-13
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-03-31
Portugal,PT,PRT,10276617,,4,"Epidemic intelligence, national daily data",2020-08-22
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-02-16
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-02-11
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-08-02
Iceland,IS,ISL,356991,,0,"Epidemic intelligence, national daily data",2020-10-01
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-09-21
Sweden,SE,SWE,10230185,,2,"Epidemic intelligence, national daily data",2020-09-27
Belarus,BY,BLR,9449321,,4,"Epidemic intelligence, national daily data",2020-04-15
